epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2199.04,1.32217,0.8366,0.88196,0.53072,0.41826,0.41283,0.24409,1.25462,0.8494,0.87683,0.035052,0.035052,0.035052
44,2249.74,1.31492,0.82885,0.8808,0.53182,0.42306,0.41425,0.2435,1.2608,0.84712,0.87807,0.034458,0.034458,0.034458
45,2300.16,1.3079,0.82634,0.88066,0.52488,0.42366,0.41034,0.2419,1.25955,0.85237,0.87651,0.033864,0.033864,0.033864
46,2350.65,1.31521,0.82679,0.88248,0.54592,0.41407,0.41538,0.24435,1.25377,0.84443,0.87723,0.03327,0.03327,0.03327
47,2401.19,1.30183,0.81935,0.87843,0.53317,0.42721,0.41732,0.24588,1.24957,0.84316,0.87528,0.032676,0.032676,0.032676
48,2452.89,1.30181,0.8149,0.88033,0.53552,0.42211,0.41891,0.2462,1.2509,0.83944,0.8751,0.032082,0.032082,0.032082
49,2503.84,1.30429,0.81459,0.87912,0.55254,0.42411,0.42127,0.24777,1.24967,0.83777,0.87618,0.031488,0.031488,0.031488
50,2554.47,1.29851,0.8052,0.8779,0.54944,0.42098,0.41949,0.24693,1.24854,0.84131,0.87383,0.030894,0.030894,0.030894
51,2605.29,1.29387,0.80378,0.87744,0.53789,0.42676,0.41907,0.24825,1.25046,0.83778,0.87543,0.0303,0.0303,0.0303
52,2656.95,1.2884,0.79955,0.87585,0.54185,0.42295,0.41629,0.24518,1.24742,0.84214,0.8744,0.029706,0.029706,0.029706
53,2707.31,1.28039,0.79464,0.87548,0.54624,0.42979,0.42565,0.25051,1.24413,0.83286,0.87246,0.029112,0.029112,0.029112
54,2758.01,1.28963,0.79217,0.87424,0.53381,0.43177,0.42319,0.25016,1.24021,0.83613,0.87294,0.028518,0.028518,0.028518
