epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.335,1.62657,1.31186,0.96136,0.36108,0.31191,0.2438,0.13307,1.56449,1.30329,0.93802,0.0199704,0.0199704,0.0866864
2,710.429,1.67083,1.2075,0.96506,0.37201,0.27586,0.24595,0.1318,1.54603,1.19021,0.94725,0.0395747,0.0395747,0.0729574
3,950.358,1.62184,1.16433,0.96002,0.37699,0.29605,0.25953,0.14402,1.48777,1.15165,0.93524,0.058783,0.058783,0.0588323
4,1198.09,1.55282,1.08689,0.94224,0.45877,0.35416,0.33158,0.19021,1.38488,0.98477,0.90658,0.058218,0.058218,0.058218
5,1439.09,1.49515,1.02165,0.92553,0.49982,0.36484,0.35713,0.20437,1.34124,0.94556,0.89679,0.057624,0.057624,0.057624
6,1678.57,1.46371,0.98492,0.91637,0.48838,0.37878,0.36569,0.2099,1.31586,0.92203,0.89247,0.05703,0.05703,0.05703
7,1922.48,1.44524,0.9548,0.91025,0.49525,0.39631,0.38348,0.22178,1.30145,0.90201,0.88485,0.056436,0.056436,0.056436
8,2166.46,1.42584,0.93508,0.90537,0.51279,0.39338,0.38766,0.22613,1.28675,0.88627,0.88347,0.055842,0.055842,0.055842
9,2411.51,1.41211,0.91961,0.90214,0.51607,0.40715,0.39777,0.2316,1.27883,0.87072,0.88024,0.055248,0.055248,0.055248
10,2652.07,1.40636,0.90942,0.89926,0.53459,0.40202,0.40348,0.23493,1.26895,0.86592,0.87908,0.054654,0.054654,0.054654
11,2894.85,1.39803,0.89515,0.89753,0.53231,0.41354,0.4077,0.23746,1.25752,0.85518,0.87619,0.05406,0.05406,0.05406
12,3137.48,1.39108,0.8889,0.89657,0.52821,0.41573,0.41102,0.24011,1.25111,0.85119,0.87508,0.053466,0.053466,0.053466
13,3382.36,1.38164,0.87603,0.89395,0.545,0.419,0.41665,0.24444,1.2455,0.84264,0.87346,0.052872,0.052872,0.052872
14,3623.31,1.37911,0.87002,0.89345,0.55244,0.41652,0.41945,0.24718,1.24058,0.84187,0.87267,0.052278,0.052278,0.052278
15,3866.74,1.37323,0.86189,0.89213,0.53887,0.43104,0.42489,0.25059,1.23861,0.83476,0.87192,0.051684,0.051684,0.051684
16,4110.29,1.36442,0.85356,0.8905,0.5659,0.42165,0.4266,0.25223,1.2346,0.83168,0.87116,0.05109,0.05109,0.05109
17,4352.98,1.36121,0.84766,0.88871,0.5422,0.42703,0.42388,0.2505,1.23265,0.83199,0.87025,0.050496,0.050496,0.050496
18,4592.73,1.35596,0.84171,0.88875,0.5622,0.42769,0.42586,0.25245,1.22947,0.83013,0.87058,0.049902,0.049902,0.049902
19,4835.46,1.35636,0.8373,0.88611,0.55917,0.42797,0.42864,0.25412,1.22593,0.82944,0.86979,0.049308,0.049308,0.049308
20,5077.22,1.34671,0.82841,0.88572,0.55892,0.43226,0.42885,0.25482,1.22371,0.82913,0.86921,0.048714,0.048714,0.048714
21,5319.05,1.34206,0.8238,0.8851,0.56076,0.43413,0.42958,0.25564,1.22227,0.82571,0.86893,0.04812,0.04812,0.04812
22,5559.44,1.33644,0.81778,0.88427,0.54924,0.44141,0.43239,0.25645,1.22023,0.82495,0.86824,0.047526,0.047526,0.047526
23,5802.92,1.33232,0.81072,0.88266,0.555,0.44323,0.43226,0.25682,1.21958,0.82442,0.86788,0.046932,0.046932,0.046932
24,6045.36,1.33053,0.80747,0.88235,0.56881,0.44092,0.43452,0.25763,1.21934,0.82338,0.86768,0.046338,0.046338,0.046338
25,6286.45,1.32478,0.80278,0.8818,0.57482,0.43687,0.43541,0.25843,1.21826,0.82278,0.86723,0.045744,0.045744,0.045744
26,6531.52,1.31986,0.79614,0.88108,0.57578,0.43534,0.43474,0.25879,1.21765,0.8229,0.86709,0.04515,0.04515,0.04515
27,6772.55,1.32053,0.79394,0.88029,0.56544,0.43938,0.43418,0.25856,1.21682,0.82255,0.86698,0.044556,0.044556,0.044556
28,7013.92,1.31142,0.78591,0.87889,0.56662,0.43933,0.43408,0.25864,1.21606,0.82204,0.86693,0.043962,0.043962,0.043962
29,7255.37,1.31311,0.78575,0.87932,0.56895,0.44051,0.43412,0.25908,1.21578,0.82234,0.86692,0.043368,0.043368,0.043368
30,7501.52,1.30685,0.77761,0.87706,0.5709,0.43925,0.43398,0.25877,1.21535,0.82221,0.86685,0.042774,0.042774,0.042774
31,7743.56,1.3065,0.77465,0.87596,0.56948,0.43851,0.43446,0.25891,1.21474,0.82238,0.86674,0.04218,0.04218,0.04218
32,7985.08,1.30129,0.77404,0.87756,0.56223,0.44141,0.43492,0.25904,1.21473,0.82267,0.8667,0.041586,0.041586,0.041586
33,8226.1,1.29849,0.7687,0.8752,0.56408,0.44081,0.4353,0.25935,1.21437,0.82187,0.86672,0.040992,0.040992,0.040992
34,8469.29,1.29595,0.76369,0.87428,0.56314,0.44256,0.43575,0.25939,1.21391,0.82191,0.8668,0.040398,0.040398,0.040398
35,8708.45,1.29026,0.76165,0.87497,0.57006,0.43943,0.43568,0.25912,1.21367,0.82224,0.86677,0.039804,0.039804,0.039804
36,8950.13,1.2899,0.75649,0.87391,0.57274,0.43732,0.43517,0.25891,1.21347,0.82225,0.86691,0.03921,0.03921,0.03921
37,9192.58,1.28189,0.75213,0.87282,0.57252,0.4385,0.43593,0.25924,1.21326,0.82238,0.86687,0.038616,0.038616,0.038616
38,9433.59,1.28429,0.751,0.87163,0.57875,0.43683,0.43611,0.25965,1.21359,0.82258,0.86698,0.038022,0.038022,0.038022
39,9676.87,1.2781,0.74485,0.87139,0.57558,0.43968,0.43654,0.26008,1.21393,0.82283,0.86711,0.037428,0.037428,0.037428
40,9922.34,1.27446,0.74148,0.87077,0.57691,0.43955,0.43685,0.25967,1.21392,0.82293,0.86711,0.036834,0.036834,0.036834
41,10164.1,1.27188,0.73843,0.87047,0.5785,0.43943,0.43695,0.25982,1.21394,0.82305,0.86719,0.03624,0.03624,0.03624
42,10404.7,1.26417,0.73191,0.86894,0.57277,0.44067,0.43708,0.26004,1.21412,0.82313,0.86728,0.035646,0.035646,0.035646
43,10646.6,1.26459,0.73168,0.86902,0.56537,0.44646,0.43635,0.2596,1.21406,0.8228,0.86727,0.035052,0.035052,0.035052
44,10888.4,1.2614,0.72839,0.86786,0.56427,0.44732,0.43733,0.26009,1.21387,0.82283,0.86736,0.034458,0.034458,0.034458
45,11129.7,1.262,0.72572,0.86733,0.56367,0.44654,0.43756,0.26008,1.21398,0.8232,0.86742,0.033864,0.033864,0.033864
46,11372.9,1.2524,0.71944,0.86625,0.56596,0.44696,0.43767,0.26048,1.21419,0.82313,0.86753,0.03327,0.03327,0.03327
47,11613.2,1.25058,0.71605,0.866,0.56753,0.44524,0.4375,0.2605,1.21402,0.82315,0.86752,0.032676,0.032676,0.032676
48,11853.3,1.2486,0.7145,0.86575,0.57198,0.4435,0.43697,0.26032,1.21407,0.82317,0.86754,0.032082,0.032082,0.032082
49,12094.9,1.24548,0.70989,0.86439,0.56704,0.44628,0.43681,0.26007,1.21449,0.82319,0.86764,0.031488,0.031488,0.031488
50,12335.2,1.24125,0.70753,0.86376,0.57037,0.44553,0.43651,0.2601,1.21476,0.82325,0.8676,0.030894,0.030894,0.030894
51,12576.8,1.23945,0.70348,0.8634,0.57076,0.44641,0.43707,0.26033,1.21506,0.82376,0.8676,0.0303,0.0303,0.0303
52,12818.8,1.23502,0.70016,0.86248,0.56774,0.448,0.43707,0.26036,1.21516,0.82422,0.86764,0.029706,0.029706,0.029706
53,13060.6,1.23115,0.69667,0.8624,0.56834,0.44691,0.43679,0.26028,1.21536,0.82467,0.86773,0.029112,0.029112,0.029112
54,13301.6,1.22645,0.69214,0.86085,0.56804,0.44588,0.43653,0.26027,1.21579,0.82509,0.86777,0.028518,0.028518,0.028518
55,13543.1,1.22438,0.68985,0.85962,0.56786,0.44542,0.43723,0.2604,1.21616,0.82522,0.8677,0.027924,0.027924,0.027924
56,13786.9,1.21594,0.68356,0.86021,0.56912,0.44635,0.43723,0.26053,1.21624,0.82544,0.86766,0.02733,0.02733,0.02733
57,14029.4,1.21734,0.68209,0.85873,0.56823,0.4464,0.43719,0.2601,1.21646,0.82584,0.86762,0.026736,0.026736,0.026736
58,14276,1.21426,0.679,0.85817,0.56968,0.44521,0.4368,0.25984,1.21728,0.82629,0.86765,0.026142,0.026142,0.026142
59,14518.6,1.21047,0.67641,0.85714,0.5706,0.44383,0.43703,0.25963,1.21772,0.82633,0.86781,0.025548,0.025548,0.025548
60,14761.7,1.20517,0.67118,0.85541,0.57236,0.44393,0.43699,0.2596,1.21802,0.82719,0.86775,0.024954,0.024954,0.024954
61,15005.1,1.19877,0.66689,0.85488,0.57434,0.44606,0.4368,0.25925,1.21817,0.82757,0.86779,0.02436,0.02436,0.02436
62,15248.2,1.19525,0.66315,0.85436,0.57504,0.44453,0.43625,0.25897,1.2188,0.8288,0.86791,0.023766,0.023766,0.023766
63,15489,1.19206,0.65958,0.85341,0.57529,0.44418,0.43652,0.25916,1.21965,0.82965,0.86797,0.023172,0.023172,0.023172
64,15733.5,1.18566,0.65569,0.85262,0.57475,0.44506,0.43632,0.25882,1.22074,0.83082,0.86813,0.022578,0.022578,0.022578
65,15972,1.18784,0.65367,0.85158,0.57809,0.44254,0.43627,0.2584,1.22096,0.83186,0.86822,0.021984,0.021984,0.021984
66,16212.9,1.1786,0.64874,0.85148,0.5798,0.44113,0.4361,0.25792,1.22178,0.8333,0.86831,0.02139,0.02139,0.02139
