Model,mean_mAP50,sd_mAP50,robustness_score
YOLOv8m-Standard,0.3055673843199405,0.0784805892772964,3.89354090143584
YOLOv8m-MultiQuality,0.3377568470087961,0.03820982394281235,8.839529004747783
YOLOv8n-Standard,0.2402375025253575,0.05192568993523532,4.626563514610887
YOLOv8n-MultiQuality,0.25289029594471957,0.02900697884775774,8.718256984707256
YOLO11m-Standard,0.3175431018160867,0.08642319038003198,3.674281178694542
YOLO11m-MultiQuality,0.3503181453720973,0.04063560201581899,8.620966049321044
